Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Focal adhesion,0.689,2.435,0.001,0.008,0.003,97/200,13.91%,COMP;ITGA8;PDGFRB;MYLK;FLT4;LAMA2;TNN;ITGA9;COL6A3;LAMA4;VWF;SHC3;PARVG;PDGFRA;ITGB3;PDGFA;COL4A2;CCND2;COL1A1;ITGA11;COL4A3;HGF;FYN;THBS2;TNXB;THBS1;COL1A2;ITGA1;PIK3CD;COL6A6;COL4A4;COL6A2;COL4A1;PDGFD;COL6A1;ITGA4;ITGB6;FLT1;AKT3;FLNA;PDGFB;KDR;FN1;PPP1R12B;PDGFC;ITGA7;PGF;MYL9;TNC;THBS3;LAMB1;PRKCB;ITGB7;TLN2;PARVA;VAV1;LAMC3;ILK;BCL2;CAV3;COL6A5;JUN;PIK3R1;CCND1;CHAD;LAMB2;ITGA3;VEGFA;SHC2;THBS4;ITGA2;ITGA10;CAV1;ITGB5;DOCK1;RASGRF1;VEGFD;PIP5K1C;PRKCA;IGF1;PDPK1;VCL;RAC2;TNR;PPP1R12C;ITGA5;MAPK10;TLN1;RAPGEF1;CAV2;EGFR;MYLK4;ZYX;COL9A2;ROCK1;BRAF;ACTN1
gsea,AGE-RAGE signaling pathway in diabetic complications,0.712,2.414,0.001,0.005,0.003,53/100,12.28%,TGFB3;NFATC1;MMP2;COL4A2;ICAM1;TGFB2;COL1A1;VCAM1;COL4A3;PLCB2;COL1A2;NOX4;PIK3CD;THBD;COL4A4;COL4A1;AKT3;COL3A1;TGFB1;CYBB;FN1;TGFBR2;PLCG2;EGR1;PLCD1;STAT5A;PRKCB;TNF;BCL2;MAPK11;JUN;PIK3R1;CCND1;AGER;VEGFA;JAK2;PLCG1;F3;FOXO1;PRKCE;IL1B;CCL2;VEGFD;SMAD4;PRKCA;EDN1;NOS3;MAPK10;PRKCZ;SMAD2;AGT;PLCE1;PIM1
gsea,Proteoglycans in cancer,0.639,2.397,0.001,0.004,0.004,110/203,20.51%,DCN;TIMP3;FZD2;ITGB3;MMP2;HSPG2;TGFB2;COL1A1;WNT9A;TLR2;HGF;THBS1;COL1A2;WNT2;FZD1;MMP9;PIK3CD;MRAS;HPSE2;AKT3;HCLS1;FLNA;KDR;TGFB1;FN1;LUM;PPP1R12B;PLCG2;WNT10A;PRKCB;TNF;PLAU;SDC2;CAMK2A;FGFR1;VAV1;ITPR2;CAV3;MAPK11;PIK3R1;CCND1;WNT5B;TLR4;VEGFA;FZD7;PLCG1;WNT7B;HBEGF;SHH;FAS;CBL;WNT2B;ITGA2;MSN;CAV1;GAB1;ITPR3;ITGB5;TWIST2;FZD4;WNT5A;ANK2;FZD8;PRKCA;WNT11;ARHGEF1;WNT6;ARHGEF12;IGF1;PTCH1;PDPK1;PPP1R12C;CD44;ITGA5;ESR1;ITPR1;GPC1;SMAD2;CAV2;PLCE1;EGFR;ERBB4;TIAM1;WNT9B;WNT3A;ROCK1;BRAF;SDC1;PLAUR;WNT7A;HSPB2;PRKACA;FGF2;ITGAV;GPC3;IL12B;CTNNB1;CAMK2D;SLC9A1;CDKN1A;VAV2;FLNB;RRAS;PTPN6;ANK3;CAMK2G;TWIST1;AKT1;PIK3R3;PIK3R2
gsea,Ras signaling pathway,0.601,2.323,0.001,0.004,0.007,114/232,20.51%,PLA2G5;RASGRP4;PDGFRB;FLT4;RASGRP2;SHC3;RASGRF2;RASAL3;GNG7;PDGFRA;GNG2;PDGFA;CSF1;RASGRP1;CSF1R;HGF;GNG8;RASGRP3;PIK3CD;MRAS;TEK;PDGFD;RGL1;RASSF5;FGF7;ANGPT4;FGF1;FLT3;FLT1;AKT3;RALGDS;PDGFB;KDR;ETS1;NTRK1;RASA3;PDGFC;PLCG2;PGF;PRKCB;RAPGEF5;ANGPT1;FGFR1;FLT3LG;FGF10;FGFR2;FGF18;RASAL2;PLA2G4C;FGFR3;PIK3R1;GNG11;ZAP70;PLA2G1B;VEGFA;SYNGAP1;NGFR;PLCG1;LAT;RASSF1;NTF3;SHC2;GNGT2;GAB1;RASGRF1;VEGFD;HTR7;PRKCA;JMJD7-PLA2G4B;IGF1;RAC2;FGF16;FGF9;KSR1;FOXO4;MAPK10;KITLG;IKBKB;PLA2G4F;GNB3;RASA1;RASA2;ABL2;PLCE1;EGFR;TIAM1;EPHA2;TGFA;PRKACA;ANGPT2;STK4;FGF2;NF1;VEGFC;AFDN;PLA2G6;ABL1;RASA4;REL;KSR2;FGF22;INSR;GRIN2A;RRAS;NFKB1;RIN1;PLA1A;PLD2;RASA4B;PLA2G2D;AKT1;PLA2G4D;PIK3R3;PIK3R2
gsea,TGF-beta signaling pathway,0.624,2.313,0.001,0.004,0.007,50/94,20.14%,SMAD7;TGFB3;FBN1;BMP4;DCN;SMAD6;TGFB2;ID4;FMOD;THBS1;BMP2;INHBA;SMURF2;GDF5;TGFB1;TGFBR2;LEFTY2;LTBP1;TNF;NBL1;BMP8A;GDF7;ID3;NOG;RGMA;CDKN2B;BMPR2;SMAD4;BMP5;ID2;RGMB;CREBBP;INHBB;NODAL;SMAD2;ROCK1;THSD4;GDF6;GREM1;ACVR1B;BMP8B;ACVR1;ID1;BAMBI;GREM2;TGFBR1;EP300;ACVR2A;SMAD9;BMP6
gsea,Rap1 signaling pathway,0.615,2.313,0.001,0.003,0.007,114/210,20.51%,PDGFRB;FLT4;RASGRP2;PDGFRA;ITGB3;ADCY4;PDGFA;ITGAM;CSF1;CSF1R;HGF;ITGB2;THBS1;PLCB2;RASGRP3;PIK3CD;EVL;MRAS;TEK;PDGFD;DOCK4;RASSF5;ITGAL;FGF7;ANGPT4;FGF1;RAPGEF2;FLT1;AKT3;RALGDS;LCP2;PDGFB;KDR;ADCY9;PDGFC;PGF;PRKCB;ARAP3;RAPGEF5;TLN2;ANGPT1;FGFR1;VAV1;FGF10;FGFR2;FGF18;MAGI3;MAPK11;FPR1;FGFR3;PIK3R1;F2R;APBB1IP;VEGFA;ADCY7;NGFR;PLCG1;LAT;PARD6G;RAPGEF3;VEGFD;CTNND1;PRKCA;IGF1;LPAR4;GNAO1;RAC2;RAPGEF6;MAGI1;FYB1;FGF16;FGF9;GNAI2;KITLG;TLN1;ADORA2A;PRKD1;PRKCZ;SIPA1;ADCY5;RAPGEF4;MAGI2;RAPGEF1;PLCE1;EGFR;TIAM1;ADCY6;EPHA2;BRAF;ANGPT2;RAP1GAP;FGF2;VEGFC;ADCY1;AFDN;CTNNB1;F2RL3;CNR1;SIPA1L2;RGS14;LPAR3;P2RY1;FGF22;ID1;INSR;VAV2;GRIN2A;RRAS;LPAR5;BCAR1;PLCB3;AKT1;PIK3R3;PIK3R2
gsea,Dilated cardiomyopathy,0.685,2.302,0.001,0.003,0.007,53/95,16.15%,SGCD;ITGA8;TGFB3;CACNA1C;SGCA;LAMA2;ITGA9;ITGB3;ADCY4;TGFB2;ITGA11;PLN;ITGA1;CACNB1;DES;ITGA4;ITGB6;CACNA2D2;SGCG;TGFB1;ADCY9;SLC8A1;ITGA7;MYL3;TNF;ITGB7;CACNA2D4;ITGA3;TPM1;ADCY7;ITGA2;ITGA10;ITGB5;TPM2;CACNB3;IGF1;TNNC1;SLC8A3;ITGA5;ADCY5;AGT;DMD;ACTC1;ADRB1;ADCY6;CACNA2D3;RYR2;PRKACA;CACNA2D1;ITGAV;SGCB;MYBPC3;ADCY1
gsea,ECM-receptor interaction,0.733,2.302,0.001,0.002,0.007,54/87,13.82%,COMP;ITGA8;LAMA2;TNN;ITGA9;COL6A3;LAMA4;VWF;ITGB3;HSPG2;COL4A2;COL1A1;ITGA11;COL4A3;THBS2;TNXB;THBS1;COL1A2;ITGA1;COL6A6;COL4A4;COL6A2;COL4A1;COL6A1;ITGA4;ITGB6;FN1;ITGA7;TNC;THBS3;LAMB1;ITGB7;LAMC3;COL6A5;CHAD;LAMB2;ITGA3;FREM1;THBS4;GP1BA;ITGA2;ITGA10;ITGB5;GP5;AGRN;TNR;CD44;ITGA5;NPNT;COL9A2;FREM2;CD47;SDC1;CD36
gsea,PI3K-Akt signaling pathway,0.564,2.295,0.001,0.002,0.008,156/353,18.26%,COMP;ITGA8;PDGFRB;FLT4;LAMA2;TNN;ITGA9;COL6A3;LAMA4;VWF;GNG7;PDGFRA;ITGB3;PIK3R6;GNG2;PDGFA;COL4A2;CSF1;CCND2;COL1A1;ITGA11;CSF1R;COL4A3;TLR2;HGF;PIK3R5;THBS2;TNXB;GNG8;THBS1;COL1A2;ITGA1;PIK3CD;COL6A6;COL4A4;PIK3CG;COL6A2;COL4A1;TEK;IL3RA;PDGFD;COL6A1;ITGA4;ITGB6;IL7R;FGF7;ANGPT4;FGF1;FLT3;FLT1;AKT3;PDGFB;KDR;FN1;NTRK1;IFNAR2;PDGFC;ITGA7;PGF;TNC;THBS3;LAMB1;ITGB7;JAK3;ANGPT1;FGFR1;LAMC3;FLT3LG;FGF10;FGFR2;FGF18;BCL2;COL6A5;FGFR3;PIK3R1;GNG11;CCND1;GHR;CHAD;F2R;TLR4;LAMB2;ITGA3;VEGFA;CREB5;JAK2;NGFR;IRS1;RXRA;IL2RB;NTF3;THBS4;OSM;GNGT2;STK11;ITGA2;ITGA10;CD19;ITGB5;IL2;VEGFD;LPAR6;TSC2;IFNA7;PRKCA;EPOR;PPP2R2B;IGF1;LPAR4;PDPK1;PIK3AP1;NOS3;TNR;MAGI1;IL2RG;FGF16;FGF9;ITGA5;PPP2R5B;CSF3R;IL4R;KITLG;FOXO3;IKBKB;IL6R;MAGI2;GNB3;EGFR;ERBB4;TSC1;COL9A2;SYK;EPHA2;OSMR;IL4;TGFA;ANGPT2;JAK1;FGF2;PHLPP2;IL2RA;ITGAV;TCL1A;VEGFC;NR4A1;PTEN;IBSP;LAMB3;LPAR3;RBL2;CHRM1;IL6;FGF22;ITGB4;INSR;CDKN1A
gsea,Protein digestion and absorption,0.657,2.288,0.001,0.002,0.009,39/103,5.13%,COL16A1;COL8A2;ELN;COL8A1;COL14A1;COL5A1;COL6A3;COL10A1;COL13A1;COL18A1;COL5A3;COL15A1;COL4A2;ATP1A2;COL1A1;ATP1B2;COL5A2;COL4A3;KCNK5;COL1A2;COL12A1;CPA3;COL6A6;COL4A4;COL6A2;COL4A1;COL6A1;COL24A1;COL3A1;KCNN4;COL23A1;DPP4;SLC8A1;COL27A1;COL11A1;COL21A1;XPNPEP2;COL6A5;KCNQ1
